Timestamp,Age,Gender,Are you a student?,Do you own or regularly use a motorcycle?,City,How far do you travel daily?,What is your approximate weekly fuel expense? (PKR),How often do you use your motorcycle?,Rising fuel prices affect my daily travel decisions,I reduce my travel due to high fuel costs,Fuel prices have caused me to miss classes or work,High fuel costs negatively impact my academic productivity,I feel financial stress due to fuel expenses,"On average, how many days per month do you miss due to fuel issues?",Are you aware of any government fuel subsidy programs?,A fuel subsidy would improve my mobility,A digital system (QR-based) would make subsidy distribution more transparent,I would use a digital fuel subsidy system if available
4/19/2026 22:18:48,23,Male,Yes,Yes,Lahore,25.0,3200,Daily,5.0,5.0,2,5,5,0,Yes,5,5.0,5
4/19/2026 22:24:31,21,Female,Yes,Yes,Lahore,1.0,6000,Daily,5.0,5.0,5,5,1,More than 5,No,1,5.0,1
4/19/2026 22:26:15,19,Male,Yes,Yes,Lahore,35.0,2000,Daily,5.0,4.0,3,4,2,1-2,No,5,5.0,5
4/19/2026 22:27:47,20,Male,Yes,Yes,Lahore,28.0,1400,Daily,5.0,5.0,5,4,2,1-2,No,5,5.0,5
4/19/2026 22:29:29,18,Male,Yes,Yes,Faisalabad,40.0,3000,Daily,5.0,5.0,5,5,5,3-5,Yes,5,5.0,5
4/19/2026 22:30:03,18,Male,Yes,Yes,Lahore,25.0,2700,Daily,5.0,5.0,2,5,5,0,Yes,5,5.0,5
4/19/2026 22:31:37,20,Male,Yes,Yes,Lahore,21.0,2000,Daily,5.0,5.0,2,5,5,0,Yes,5,5.0,5
4/19/2026 22:32:50,20,Male,Yes,Yes,Lahore,1.0,7000,Daily,5.0,5.0,5,5,5,More than 5,No,5,1.0,5
4/19/2026 22:34:42,21,Female,Yes,No,Lahore,10.0,800,3–5 times a week,5.0,5.0,3,3,4,More than 5,No,4,4.0,5
4/19/2026 22:40:25,20,Female,Yes,Yes,Lahore,1.0,5000,Daily,1.0,1.0,5,1,5,More than 5,Yes,1,1.0,5
4/19/2026 23:30:14,21,Male,Yes,"Yes, No",Rawalpindi,300.0,500,Occasionally,1.0,2.0,3,4,3,3-5,Yes,4,2.0,2
4/19/2026 23:49:21,30,Male,Yes,Yes,Other,,3000,Daily,5.0,5.0,5,5,5,More than 5,No,1,1.0,1
4/20/2026 3:23:07,21,Male,Yes,Yes,Lahore,40.0,3000,Daily,5.0,5.0,5,4,5,3-5,No,5,5.0,5
4/20/2026 7:18:38,18,Male,Yes,Yes,Sialkot,10.0,2000,Daily,5.0,4.0,2,5,5,More than 5,No,2,3.0,4
4/20/2026 11:19:47,18,Male,Yes,Yes,Lahore,40.0,2000,Daily,5.0,5.0,3,3,1,1-2,No,5,5.0,5
4/20/2026 12:07:17,20,Male,Yes,Yes,Lahore,50.0,2000,Daily,5.0,4.0,3,3,4,3-5,Yes,5,5.0,5
4/20/2026 18:34:22,20,Male,Yes,Yes,Lahore,9.0,4000,Daily,5.0,3.0,5,5,5,1-2,Yes,5,5.0,5
4/21/2026 1:54:12,19,Male,Yes,Yes,Lahore,60.0,1,Daily,5.0,5.0,5,5,5,More than 5,Yes,5,5.0,5
4/21/2026 7:57:27,20,Male,Yes,Yes,Lahore,30.0,2000,Daily,4.0,3.0,4,3,3,1-2,Yes,4,4.0,4
